Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Index 

(1)","Name 

(2)","α(J2000) 
(h m s) 
(3)","β(J2000) 
(° ′ ″) 
(4)","B
T

(mag) 
(5)","T

Type 
(6)","Leda 
Type 
(7)","RC3 
Type 
(8)","v
h

(km s-1) 
(9)","D
L

(Mpc) 
(10)","A
B

(mag) 
(11)","Notes 

(12)","R
20

(′) 

(3)","R
50

(′) 

(4)","R
80

(′) 

(5)","C



(6)","D
25
 

(′) 

(7)","D
25
c

(′) 

(8)","D
26.5
 

(′) 

(9)","D
26.5
c

(′) 

(10)","Scale 
(kpc/′) 

(11)","e



(12)","i

(°) 

(13)","PA

(°) 

(14)","Σ



(15)","B
25

(mag) 
(3)","B
tot

(mag) 
(4)","V
25

(mag) 
(5)","V
tot

(mag) 
(6)","R
25

(mag) 
(7)","R
tot

(mag) 
(8)","I
25

(mag) 
(9)","I
tot

(mag) 
(10)","M
B25

(mag) 
(11)","M
Btot

(mag) 
(12)","μ
e
(B) 
(mag arcsec−2) 
(3)","μ
e
(V) 
(mag arcsec−2) 
(4)","μ
e
(R) 
(mag arcsec−2) 
(5)","μ
e
(I) 
(mag arcsec−2) 
(6)","S
FUV

(Jy) 
(3)","S
NUV

(Jy) 
(4)","U
T

(mag) 
(5)","J
T

(mag) 
(6)","H
T

(mag) 
(7)","K
T

(mag) 
(8)","S
12

(Jy) 
(9)","S
25

(Jy) 
(10)","S
60

(Jy) 
(11)","S
100

(Jy) 
(12)","log FIR 
(W m−2) 
(13)","V
max

(km s-1) 
(3)","V
rot

(km s-1) 
(4)","σ
*

(km s-1) 
(5)","Δ
θ

(
D
25
) 
(6)","t
p


(7)","Environment 

(8)","m
21
c

(mag) 
(9)","M
H I
/
L
B

(
M
☉
/
L
☉
) 
(10)","B
−
I

(mag) 
(3)","V
−
I

(mag) 
(4)","R
−
I

(mag) 
(5)","(B−I)
in


(6)","(B−I)
out


(7)","(V−I)
in


(8)","(V−I)
out


(9)","(R−I)
in


(10)","(R−I)
out


(11)","Flag 

(3)","R
bar
i

(″) 
(4)","e
bar


(5)","PA
bar

(°) 
(6)","(
I
2
/
I
0
)bar 

(7)","(
Φ
2
) bar 
(°) 
(8)","〈
I
2
/
I
0
〉B 
(3)","〈
I
2
/
I
0
〉V 
(4)","〈
I
2
/
I
0
〉R 
(5)","〈
I
2
/
I
0
〉I 
(6)","σ
B
s

(7)","σ
V
s

(8)","σ
R
s

(9)","σ
I
s

(10)","〈
Φ
1
〉I 
(3)","〈
I
1
/
I
0
〉B 
(4)","〈
I
1
/
I
0
〉V 
(5)","〈
I
1
/
I
0
〉R 
(6)","〈
I
1
/
I
0
〉I 
(7)"
,001,ESO 009-G010,17 39 31.76,−85 18 37.3,12.70,3.9,Sbc,SA(s)bc:,2421,33.9,0.613,...,0.26,0.57,0.96,3.79,2.42,2.72,3.17,3.57,9.86,0.653±0.05,73.2±5,173.6± 2.2,0.0136,13.08±0.03,12.99±0.03,12.29±0.02,12.23±0.02,11.64±0.02,11.61±0.02,10.84±0.03,10.82±0.03,−20.18±0.03,−20.27±0.03,22.99±0.026,22.31±0.022,21.64±0.021,20.86±0.024,...,...,...,10.039,9.280,9.089,1.64E-01,2.15E-01,1.82E+00,6.71E+00,-12.84,137.4± 2.0,143.5± 2.1,...,20.62,-4.404,G,15.28±0.19,0.070,1.83±0.06,1.22±0.05,0.68±0.05,−0.19±0.05,0.30±0.77,−0.08±0.04,0.01±0.72,0.00±0.04,0.11±0.73,N,...,...,...,...,...,0.11±0.08,0.09±0.07,0.08±0.06,0.07±0.05,0.006,0.004,0.003,0.002,338.5±9.9,0.20±0.10,0.16±0.09,0.16±0.09,0.15±0.10
,002,ESO 027-G001,21 52 26.37,−81 31 51.1,12.78,5.0,SBc,SB(s)c,2559,18.3,0.860,...,0.34,0.69,1.14,3.44,2.71,3.22,4.18,4.96,5.33,0.286±0.011,45.6±0.9,113.8± 7.9,0.0148,12.67±0.21,12.53±0.21,12.02±0.11,11.92±0.11,11.48±0.10,11.41±0.10,10.77±0.09,10.74±0.09,−19.50±0.21,−19.64±0.21,22.89±0.031,22.25±0.028,21.69±0.027,20.95±0.027,...,...,...,10.106,9.405,9.166,2.28E-01,5.52E-01,4.32E+00,1.10E+01,-12.55,52.2± 2.4,73.0± 3.4,...,> 26.94,-3.243,G,13.88±0.26,0.219,1.31±0.30,0.90±0.21,0.52±0.19,−0.67±0.17,−0.19±0.73,−0.32±0.10,−0.07±0.72,−0.11±0.08,0.03±0.73,B,23.74±4.45,0.50±0.02,64.25±3.77,0.38±0.04,126.77±6.04,0.31±0.21,0.29±0.20,0.28±0.21,0.27±0.23,0.008,0.008,0.005,0.002,70.4±4.0,0.53±0.14,0.50±0.14,0.48±0.12,0.45±0.11
,003,ESO 027-G008,22 23 04.19,−79 59 49.1,12.96,5.0,SBc,SB(s)c?,2491,31.0,0.447,extra,0.40,0.72,1.09,2.56,2.95,3.10,3.88,4.08,9.02,0.279±0.006,45.0±0.5,139 ± 6,0.0132,13.29±0.21,13.22±0.21,12.44±0.11,12.41±0.11,11.73±0.10,11.72±0.10,11.02±0.09,11.01±0.09,−19.61±0.21,−19.68±0.21,22.43±0.044,21.64±0.039,20.95±0.037,20.30±0.036,...,...,...,10.248,9.500,9.313,<1.71E−1,<1.86E−1,1.39E+00,<5.07E+0,<−12.96,163.4± 2.7,231.0± 3.8,...,> 23.99,...,G,15.42±0.30,0.092,1.96±0.30,1.26±0.21,0.63±0.19,−0.41±0.08,0.80±0.66,−0.18±0.07,0.69±0.65,−0.07±0.07,0.61±0.61,N,...,...,...,...,...,0.23±0.19,0.22±0.18,0.23±0.18,0.23±0.20,0.010,0.008,0.007,0.003,168.9±2.3,0.13±0.03,0.10±0.03,0.14±0.05,0.21±0.13
,004,ESO 056-G115,05 23 34.52,−69 45 22.1,1.92,9.0,SBm,SB(s)m,320,0.050,0.324,"LMC, NED",...,...,...,...,...,...,...,...,0.01,0.691±0.05,76.1±5,...,0.0529,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.80,...,...,...,2.78E+03,7.82E+03,8.29E+04,1.85E+05,-8.30,26.9± 2.9,27.7± 3.0,...,> 0.93,...,G,2.69±0.31,0.487,...,...,...,...,...,...,...,...,...,N,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,005,ESO 060-G019,08 57 26.71,−69 03 36.5,12.80,6.9,SBcd,SB(s)d,1443,18.5,0.433,...,0.22,0.60,1.15,6.05,2.40,2.60,3.95,4.28,5.38,...,...,145 ± 6,0.0196,13.10±0.21,12.87±0.21,12.58±0.11,12.43±0.11,12.03±0.10,11.94±0.10,11.27±0.09,11.21±0.09,−18.67±0.21,−18.90±0.21,22.93±0.054,22.48±0.051,22.01±0.045,21.32±0.049,...,...,...,11.138,10.545,10.248,1.64E-01,5.81E-01,2.63E+00,4.90E+00,-12.83,95.5± 1.6,...,...,24.00,-4.389,F,13.38±0.17,0.524,1.42±0.30,1.08±0.21,0.65±0.19,0.23±0.13,0.55±1.02,0.19±0.12,0.47±1.00,0.20±0.12,0.39±0.98,B,20.43±3.00,0.38±0.02,28.58±5.00,0.76±0.03,145.03±5.56,0.55±0.24,0.50±0.23,0.48±0.21,0.48±0.16,0.044,0.038,0.048,0.037,240.0±11.6,0.12±0.10,0.18±0.08,0.16±0.05,0.19±0.05
,006,ESO 091-G003,09 13 31.59,−63 37 35.1,13.00,2.3,Sab,SA(rs)ab,1906,20.8,0.974,extra,0.17,0.49,1.00,6.25,2.60,3.15,3.49,4.22,6.05,0.291±0.05,46.0±5,67.3± 0.6,0.0107,13.13±0.03,13.01±0.03,12.19±0.02,12.15±0.02,11.48±0.01,11.45±0.01,10.52±0.03,10.80±0.03,−19.43±0.03,−19.55±0.03,22.66±0.016,21.63±0.011,20.84±0.010,20.01±0.015,...,...,...,9.630,8.921,8.654,<2.50E−1,<7.59E−1,5.05E-01,2.67E+00,-13.30,151.8± 8.1,210.9±11.3,...,21.87,-5.220,G,14.69±0.27,0.115,1.67±0.05,1.04±0.05,0.49±0.04,−0.12±0.07,−0.65±0.36,0.01±0.06,−0.25±0.34,0.08±0.05,0.00±0.34,N,...,...,...,...,...,0.10±0.06,0.11±0.06,0.11±0.07,0.12±0.08,0.008,0.008,0.005,0.003,11.0±17.4,0.10±0.04,0.09±0.02,0.10±0.04,0.17±0.09
,007,ESO 097-G013,14 13 09.95,−65 20 21.2,12.03,3.4,Sb,SA(s)b:,439,4.2,6.276,"Circinus, NED",0.77,2.18,3.81,5.08,...,...,...,...,1.22,0.382±0.018,53.3±1.4,38 ± 6,0.0422,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12.79,6.235,5.353,4.984,1.88E+01,6.84E+01,2.49E+02,3.16E+02,-10.92,142.5± 5.4,177.6± 6.7,157.6±18.8,> 68.57,-7.765,F,10.70±0.21,0.014,...,...,...,0.01±0.10,−1.10±1.10,0.07±0.09,−0.27±1.09,0.09±0.08,−0.39±1.04,N,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,008,ESO 121-G006,06 07 29.69,−61 48 26.9,10.74,5.1,Sc,Sc pec: spin,1211,19.1,0.221,...,0.41,0.96,1.90,6.05,3.68,3.66,5.66,5.62,5.56,0.739±0.05,80.2±5,52 ± 6,0.0117,13.47±0.09,13.22±0.09,12.73±0.04,12.61±0.04,12.05±0.04,11.98±0.04,11.16±0.05,11.12±0.05,−18.16±0.09,−18.41±0.09,23.53±0.059,22.69±0.056,21.85±0.064,20.98±0.057,...,...,10.94,10.122,9.374,8.981,5.80E-01,6.80E-01,6.11E+00,1.52E+01,-12.41,130.2± 1.5,132.1± 1.5,...,> 41.84,-7.279,G,12.74±0.19,0.172,1.97±0.14,1.42±0.09,0.82±0.08,−0.77±0.14,0.14±0.55,−0.40±0.12,0.38±0.51,−0.13±0.10,0.44±0.56,N,...,...,...,...,...,0.25±0.22,0.24±0.20,0.22±0.17,0.18±0.10,0.009,0.020,0.027,0.025,226.3±18.4,0.25±0.09,0.29±0.12,0.28±0.07,0.17±0.06
,009,ESO 121-G026,06 21 38.68,−59 44 23.8,12.70,3.8,SBbc,SB(rs)bc,2264,40.7,0.196,...,0.29,0.59,1.13,4.23,2.84,2.92,3.97,4.09,11.84,0.278±0.033,44.9±2.8,121.0± 2.4,0.0134,12.65±0.09,12.51±0.09,12.01±0.04,11.94±0.04,11.42±0.04,11.39±0.04,10.74±0.05,10.73±0.05,−20.59±0.09,−20.73±0.09,22.51±0.027,21.77±0.025,21.16±0.021,20.43±0.014,...,...,...,9.903,9.252,9.007,1.37E-01,1.48E-01,1.26E+00,4.62E+00,-13.00,135.2± 1.5,191.4± 2.1,...,> 35.27,-4.726,F,13.63±0.19,0.473,1.68±0.14,1.15±0.09,0.63±0.08,−0.52±0.08,−0.89±0.29,−0.19±0.05,−0.46±0.28,−0.06±0.04,−0.19±0.28,B,19.21±2.26,0.57±0.01,166.75±11.08,0.55±0.03,176.96±1.45,0.20±0.09,0.19±0.09,0.19±0.08,0.17±0.07,0.010,0.008,0.007,0.003,161.0±19.6,0.30±0.13,0.35±0.15,0.34±0.15,0.29±0.14
,010,ESO 136-G012,16 02 35.49,−61 46 28.4,12.90,5.0,SBc,SB(s)c:,4370,37.2,1.220,...,0.18,0.44,0.84,5.00,1.77,2.30,3.22,4.16,10.83,0.152±0.05,32.8±5,114 ± 6,0.0158,14.15±0.30,13.81±0.30,13.46±0.17,13.33±0.17,12.89±0.10,12.79±0.10,11.95±0.09,11.83±0.09,−19.92±0.30,−20.26±0.30,23.79±0.106,23.44±0.106,22.65±0.096,21.93±0.160,...,...,...,11.266,10.691,10.439,<2.50E−1,<2.50E−1,1.57E+00,4.32E+00,-12.98,90.7± 3.7,167.6± 6.8,...,> 13.37,-1.644,G,13.93±0.14,0.168,1.31±0.39,1.12±0.26,0.75±0.19,−0.30±0.25,0.06±2.00,−0.08±0.23,0.01±1.90,0.06±0.24,0.28±2.01,N,...,...,...,...,...,0.22±0.07,0.33±0.58,0.23±0.28,0.19±0.15,0.013,0.017,0.016,0.008,155.3±17.0,0.23±0.19,1.01±1.62,0.42±0.58,0.28±0.25
