1,ESO 009-G010,Sbc,SA(s)bc:
2,ESO 027-G001,SBc,SB(s)c
3,ESO 027-G008,SBc,SB(s)c?
4,ESO 056-G115,SBm,SB(s)m
5,ESO 060-G019,SBcd,SB(s)d
6,ESO 091-G003,Sab,SA(rs)ab
7,ESO 097-G013,Sb,SA(s)b:
8,ESO 121-G006,Sc,Sc pec: spin
9,ESO 121-G026,SBbc,SB(rs)bc
10,ESO 136-G012,SBc,SB(s)c:
11,ESO 137-G018,Sc,SA(s)c:
12,ESO 137-G034,S0/a,SAB(s)0/a?
13,ESO 137-G038,SABb,SAB(r)bc:
14,ESO 138-G005,E/S0,SB0^0^? pec
15,ESO 138-G010,Sd,SA(s)dm
16,ESO 138-G029,S0/a,(R)SAB(s)0^+ pe
17,ESO 183-G030,E/S0,SA0^- pec?
18,ESO 185-G054,E,E2
19,ESO 186-G062,SBcd,SB(s)d
20,ESO 208-G021,E/S0,SAB0^-
21,ESO 209-G009,SBc,SB(s)cd: spin
22,ESO 213-G011,Sc,SA(s)c
23,ESO 219-G021,SABc,SAB(s)d
24,ESO 221-G026,E,E5 pec:
25,ESO 221-G032,Sc,SA(r)c pec
26,ESO 265-G007,SBc,SB(s)cd
27,ESO 269-G057,SABa,(R')SAB(r)ab
28,ESO 270-G017,SBm,SB(s)m:
29,ESO 271-G010,Sc,SAB(s)cd
30,ESO 273-G014,IB,IB(s)m pec:
31,ESO 274-G001,Scd,SAd: spin
32,ESO 311-G012,S0/a,S0/a? spin
33,ESO 320-G026,Sb,Sb
34,ESO 321-G025,SBc,SB(rs)cd pec?
35,ESO 351-G030,E?,E?
36,ESO 356-G004,E,dE4
37,ESO 358-G063,Sc,I0?
38,ESO 362-G011,Sbc,Sbc: spin
39,ESO 373-G008,Sc,Scd spin
40,ESO 380-G001,Sb,(R')SB(s)b:
41,ESO 380-G006,Sb,(R')SA(s)b:
42,ESO 383-G087,Sd,SB(s)dm
43,ESO 384-G002,SBd,SB(s)dm
44,ESO 436-G027,S0,(R')SA(s)0^0^ p
45,ESO 440-G011,Scd,SB(s)d:
46,ESO 442-G026,S0,SB0?
47,ESO 445-G089,SBcd,SB(s)d pec:
48,ESO 479-G004,SBd,SB(s)dm
49,ESO 494-G026,SABb,SAB(s)b pec:
50,ESO 495-G021,E,I0? pec
51,ESO 506-G004,SABa,SAB(r)ab:
52,ESO 507-G025,E/S0,SA0^-
53,ESO 556-G015,SBab,SB(s)a pec
54,ESO 582-G012,SABc,SAB(rs)c
55,IC 438,SABc,SA(rs)c
56,IC 764,SABc,SA(s)c?
57,IC 1459,E,E3-4
58,IC 1633,E,cD1
59,IC 1953,Scd,SB(rs)d
60,IC 1954,Sb,SB(s)b:
61,IC 1993,SABb,(R')SAB(rs)b
62,IC 2000,SBc,SB(s)cd: sp
63,IC 2006,E,(R)SA0^-
64,IC 2035,S0,S0 pec?
65,IC 2051,SBbc,SB(r)bc:
66,IC 2056,Sbc,(R)SAB(r)bc:
67,IC 2150,SBc,SB(r)c?
68,IC 2163,Sc,SB(rs)c pec
69,IC 2311,E,E0:
70,IC 2367,Sb,SB(r)b
71,IC 2469,SBab,SB(rs)ab
72,IC 2522,Sc,SB(s)c pec
73,IC 2531,Sc,Sc: spin
74,IC 2537,Sc,SAB(rs)c
75,IC 2554,SBbc,SB(s)bc pec:
76,IC 2560,SBb,(R')SB(r)b:
77,IC 2597,E,cD4
78,IC 2627,SABb,SA(s)bc:
79,IC 2764,S0/a,(R)SA(rs)0/a
80,IC 2995,SBc,SB(s)c?
81,IC 3253,Sc,SA(s)c:
82,IC 3370,E,E2-3
83,IC 3896,E,E
84,IC 4214,SBab,(R')SB(r)ab
85,IC 4296,E,E
86,IC 4329,E/S0,SAB(s)0^-
87,IC 4351,Sb,SA(s)b: spin
88,IC 4402,Sb,SA(s)b? spin
89,IC 4444,SABb,SAB(rs)bc:
90,IC 4538,SABc,SAB(s)c:
91,IC 4618,SBbc,SB(rs)bc pec
92,IC 4646,Sc,SA(rs)c:
93,IC 4662,IB,IBm
